face_present,face_count,yaw,pitch,roll,left_EAR,right_EAR,gaze_direction,mouth_ratio,face_area,label
1,1,4.7,30.0,-0.83,0.282,0.285,3,0.004,0.062,Normal
1,1,7.06,30.0,1.65,0.269,0.291,3,0.004,0.067,Normal
1,1,5.52,30.0,0.87,0.28,0.292,3,0.003,0.063,Normal
1,1,5.76,30.0,0.74,0.274,0.309,3,0.005,0.063,Normal
1,1,5.35,30.0,0.6,0.289,0.29,3,0.004,0.063,Normal
1,1,5.3,30.0,0.77,0.275,0.302,3,0.003,0.063,Normal
1,1,5.36,30.0,0.35,0.285,0.276,3,0.005,0.065,Normal
1,1,5.23,30.0,0.47,0.274,0.312,3,0.005,0.063,Normal
1,1,5.2,30.0,0.39,0.279,0.304,3,0.005,0.063,Normal
1,1,5.09,30.0,0.44,0.275,0.293,3,0.004,0.065,Normal
1,1,5.15,30.0,0.25,0.273,0.287,3,0.003,0.068,Normal
1,1,4.88,30.0,0.06,0.267,0.297,3,0.005,0.062,Normal
1,1,4.9,30.0,0.06,0.279,0.287,3,0.005,0.061,Normal
1,1,4.97,30.0,-0.01,0.282,0.304,3,0.006,0.065,Normal
1,1,4.74,30.0,-0.15,0.268,0.288,3,0.006,0.062,Normal
1,1,4.91,30.0,0.17,0.276,0.292,3,0.004,0.061,Normal
1,1,4.79,30.0,0.19,0.282,0.286,3,0.005,0.061,Normal
1,1,5.05,30.0,-0.14,0.257,0.268,3,0.004,0.063,Normal
1,1,5.47,30.0,-0.03,0.274,0.267,3,0.002,0.063,Normal
1,1,7.07,30.0,0.42,0.254,0.263,3,0.002,0.066,Normal
1,1,5.87,30.0,0.48,0.27,0.281,3,0.002,0.064,Normal
1,1,5.37,30.0,0.65,0.263,0.267,3,0.002,0.053,Normal
1,1,5.26,30.0,0.9,0.248,0.27,3,0.002,0.053,Normal
1,1,3.47,30.0,0.42,0.248,0.279,3,0.005,0.056,Normal
1,1,2.99,30.0,1.15,0.262,0.264,3,0.003,0.055,Normal
1,1,1.59,30.0,0.18,0.279,0.274,3,0.005,0.06,Normal
1,1,1.25,30.0,0.1,0.269,0.266,3,0.004,0.059,Normal
1,1,4.68,30.0,-0.09,0.285,0.27,3,0.003,0.059,Normal
1,1,7.31,30.0,0.6,0.272,0.29,3,0.003,0.065,Normal
1,1,6.07,30.0,0.46,0.263,0.305,3,0.002,0.061,Normal
1,1,-3.58,30.0,-0.16,0.246,0.274,3,0.003,0.053,Normal
1,1,-3.86,30.0,-0.46,0.263,0.219,3,0.002,0.052,Normal
1,1,5.77,30.0,1.29,0.28,0.268,3,0.001,0.068,Normal
1,1,6.12,30.0,1.56,0.032,0.062,3,0.005,0.065,Normal
1,1,9.8,30.0,4.68,0.248,0.285,3,0.003,0.057,Normal
1,1,10.4,30.0,4.71,0.239,0.275,3,0.005,0.053,Normal
